조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,주소대분류,프로모션여부,연령대,R,F,M,R_score,M_score,F_score,RFM_score,RFM_rank,주매장,이탈여부,최소재구매주기,재구매여부,5개월이내재구매
정상회원,여,56,신청,미수신,normal,용인 수지구,0,50대,2,29,1255087,5,4,3,3.9,포미패밀리,매장A,정상,5,1,1
정상회원,남,55,미신청,미수신,normal,용인 수지구,0,50대,71,2,51402,3,1,2,2,포미초대손님,매장C,정상,83,0,0
정상회원,여,50,미신청,미수신,normal,용인 수지구,0,50대,4,46,1183928,5,4,4,4.3,포미킹,매장B,정상,1,1,1
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,4,4,54560,5,1,2,2.6,포미프렌즈,매장A,정상,3,1,1
정상회원,여,72,미신청,미수신,normal,용인 수지구,0,70대,105,3,69684,3,1,2,2,포미초대손님,매장A,정상,3,1,1
정상회원,여,49,미신청,미수신,normal,서울 강남구,0,40대,5,12,433767,5,2,2,2.9,포미프렌즈,매장B,정상,4,1,1
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,1,33,640635,5,3,3,3.6,포미패밀리,매장C,정상,2,1,1
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,198,15,444643,2,2,2,2,포미방문자,매장A,잠재이탈,2,1,0
정상회원,여,42,미신청,미수신,normal,광주,0,40대,301,1,7466,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,33,미신청,미수신,normal,용인 수지구,0,30대,65,9,125489,3,1,2,2,포미초대손님,매장B,정상,3,1,1
정상회원,여,34,미신청,미수신,normal,성남 분당구,0,30대,2,13,281054,5,1,2,2.6,포미초대손님,매장C,정상,1,1,1
정상회원,여,42,신청,미수신,normal,용인 수지구,0,40대,9,32,1115144,5,4,3,3.9,포미패밀리,매장D,정상,1,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,12,5,73225,5,1,2,2.6,포미프렌즈,매장B,정상,6,1,1
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,186,1,47477,2,1,1,1.3,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,33,2,7371,4,1,2,2.3,포미초대손님,매장B,정상,242,0,0
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,38,4,40011,4,1,2,2.3,포미초대손님,매장D,정상,7,1,1
정상회원,여,37,미신청,미수신,normal,용인 기흥구,0,30대,196,2,45372,2,1,2,1.7,포미방문자,매장B,잠재이탈,104,0,0
정상회원,여,66,미신청,미수신,normal,용인 수지구,0,60대,17,8,229060,4,1,2,2.3,포미초대손님,매장D,정상,5,1,1
정상회원,여,42,미신청,수신,normal,용인 수지구,0,40대,103,1,38575,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,45,신청,미수신,normal,수원 영통구,0,40대,4,10,469223,5,2,2,2.9,포미프렌즈,매장C,정상,6,1,1
정상회원,남,66,신청,미수신,normal,용인 수지구,0,60대,2,31,807176,5,3,3,3.6,포미패밀리,매장D,정상,1,1,1
정상회원,여,62,신청,미수신,normal,서울 송파구,0,60대,6,17,479525,5,2,3,3.3,포미프렌즈,매장B,정상,1,1,1
정상회원,여,58,미신청,미수신,normal,수원 영통구,0,50대,93,7,108642,3,1,2,2,포미초대손님,매장B,정상,7,1,1
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,209,4,51689,1,1,2,1.4,포미방문자,매장D,잠재이탈,10,1,0
정상회원,여,33,미신청,미수신,normal,용인 수지구,0,30대,34,13,207516,4,1,2,2.3,포미초대손님,매장C,정상,1,1,1
탈퇴,여,74,미신청,미수신,normal,용인 수지구,0,70대,141,3,62327,2,1,2,1.7,포미방문자,매장C,이탈,1,1,1
정상회원,남,75,미신청,미수신,normal,용인 수지구,0,70대,24,1,32354,4,1,1,1.9,포미방문자,매장D,정상,0,0,0
정상회원,여,41,미신청,미수신,normal,용인 수지구,0,40대,26,31,447113,4,2,3,3,포미프렌즈,매장A,정상,1,1,1
정상회원,여,66,미신청,미수신,normal,용인 수지구,0,60대,191,4,67003,2,1,2,1.7,포미방문자,매장A,잠재이탈,6,1,0
정상회원,여,58,미신청,수신,normal,용인 수지구,0,50대,2,60,2795603,5,5,4,4.6,포미킹,매장D,정상,1,1,1
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,25,15,194679,4,1,2,2.3,포미초대손님,매장C,정상,1,1,1
탈퇴,여,44,신청,미수신,normal,용인 수지구,0,40대,62,28,478988,3,2,3,2.7,포미프렌즈,매장B,이탈,2,1,1
정상회원,여,41,신청,미수신,normal,성남 분당구,0,40대,0,30,609552,5,2,3,3.3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,42,신청,미수신,normal,용인 수지구,0,40대,30,24,759252,4,3,3,3.3,포미프렌즈,매장B,정상,3,1,1
정상회원,여,38,미신청,미수신,normal,기타,0,30대,302,1,9189,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,48,6,65666,4,1,2,2.3,포미초대손님,매장A,정상,15,0,0
정상회원,여,55,미신청,미수신,normal,용인 수지구,0,50대,15,7,53892,4,1,2,2.3,포미초대손님,매장B,정상,1,1,1
정상회원,여,63,미신청,미수신,normal,용인 수지구,0,60대,193,1,29290,2,1,1,1.3,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,35,미신청,미수신,normal,화성,0,30대,2,4,37906,5,1,2,2.6,포미프렌즈,매장C,정상,11,1,1
정상회원,여,68,미신청,미수신,normal,용인 수지구,0,60대,5,21,335328,5,2,3,3.3,포미패밀리,매장C,정상,2,1,1
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,39,14,200727,4,1,2,2.3,포미초대손님,매장C,정상,1,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,16,7,140900,4,1,2,2.3,포미초대손님,매장A,정상,3,1,1
정상회원,여,36,미신청,미수신,normal,용인 수지구,0,30대,4,32,355752,5,2,3,3.3,포미패밀리,매장C,정상,1,1,1
정상회원,여,68,미신청,미수신,normal,기타,0,60대,300,1,6892,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,39,미신청,미수신,normal,수원 영통구,0,30대,15,4,84233,4,1,2,2.3,포미초대손님,매장D,정상,14,1,1
탈퇴,여,81,미신청,미수신,normal,용인 수지구,0,80대,126,11,271847,2,1,2,1.7,포미방문자,매장C,이탈,1,1,1
